freqHz,wcetMs,phaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,tickCount,worstCasePathMs,criticalPathThroughCnnMs,criticalPathExecutionThroughCnnMs
350,0,83/5,12/5,1,4/5,18,21000,98,98,5771/1500
350,1/4,83/5,12/5,1,4/5,18,21000,98,98,3073/750
350,1/2,83/5,12/5,1,4/5,18,21000,98,98,6521/1500
350,3/4,83/5,12/5,1,4/5,18,21000,98,98,1724/375
350,1,83/5,12/5,1,4/5,18,21000,98,98,7271/1500
350,5/4,83/5,12/5,1,4/5,18,21000,98,98,3823/750
800,0,83/5,21/20,1,7/20,18,6000,98,98,5771/1500
800,1/4,83/5,21/20,1,7/20,18,6000,98,98,3073/750
800,1/2,83/5,21/20,1,7/20,18,6000,98,98,6521/1500
800,3/4,83/5,21/20,1,7/20,18,6000,98,98,1724/375
800,1,83/5,21/20,1,7/20,18,6000,98,98,7271/1500
225,0,83/5,56/15,1,56/45,18,18000,123,98,5771/1500
225,1/4,83/5,56/15,1,56/45,18,18000,123,98,3073/750
225,1/2,83/5,56/15,1,56/45,18,18000,123,98,6521/1500
225,3/4,83/5,56/15,1,56/45,18,18000,123,98,1724/375
225,1,83/5,56/15,1,56/45,18,18000,123,98,7271/1500
225,5/4,83/5,56/15,1,56/45,18,18000,123,98,3823/750
225,3/2,83/5,56/15,1,56/45,18,18000,123,98,8021/1500
225,7/4,83/5,56/15,1,56/45,18,18000,123,98,2099/375
225,2,83/5,56/15,1,56/45,18,18000,123,98,8771/1500
550,0,83/5,84/55,14/11,28/55,18,33000,98,98,5771/1500
550,1/4,83/5,84/55,14/11,28/55,18,33000,98,98,3073/750
550,1/2,83/5,84/55,14/11,28/55,18,33000,98,98,6521/1500
550,3/4,83/5,84/55,14/11,28/55,18,33000,98,98,1724/375
550,1,83/5,84/55,14/11,28/55,18,33000,98,98,7271/1500
550,5/4,83/5,84/55,14/11,28/55,18,33000,98,98,3823/750
550,3/2,83/5,84/55,14/11,28/55,18,33000,98,98,8021/1500
650,0,83/5,84/65,1,28/65,18,39000,98,98,5771/1500
650,1/4,83/5,84/65,1,28/65,18,39000,98,98,3073/750
650,1/2,83/5,84/65,1,28/65,18,39000,98,98,6521/1500
650,3/4,83/5,84/65,1,28/65,18,39000,98,98,1724/375
650,1,83/5,84/65,1,28/65,18,39000,98,98,7271/1500
900,0,83/5,14/15,1,14/45,18,9000,98,98,5771/1500
900,1/4,83/5,14/15,1,14/45,18,9000,98,98,3073/750
900,1/2,83/5,14/15,1,14/45,18,9000,98,98,6521/1500
900,3/4,83/5,14/15,1,14/45,18,9000,98,98,1724/375
525,0,83/5,8/5,1,8/15,18,42000,123,98,5771/1500
525,1/4,83/5,8/5,1,8/15,18,42000,123,98,3073/750
525,1/2,83/5,8/5,1,8/15,18,42000,123,98,6521/1500
525,3/4,83/5,8/5,1,8/15,18,42000,123,98,1724/375
525,1,83/5,8/5,1,8/15,18,42000,123,98,7271/1500
525,5/4,83/5,8/5,1,8/15,18,42000,123,98,3823/750
175,0,83/5,24/5,1,8/5,18,42000,123,98,5771/1500
175,1/4,83/5,24/5,1,8/5,18,42000,123,98,3073/750
175,1/2,83/5,24/5,1,8/5,18,42000,123,98,6521/1500
175,3/4,83/5,24/5,1,8/5,18,42000,123,98,1724/375
175,1,83/5,24/5,1,8/5,18,42000,123,98,7271/1500
175,5/4,83/5,24/5,1,8/5,18,42000,123,98,3823/750
675,0,83/5,56/45,1,56/135,18,54000,123,98,5771/1500
675,1/4,83/5,56/45,1,56/135,18,54000,123,98,3073/750
675,1/2,83/5,56/45,1,56/135,18,54000,123,98,6521/1500
675,3/4,83/5,56/45,1,56/135,18,54000,123,98,1724/375
675,1,83/5,56/45,1,56/135,18,54000,123,98,7271/1500
675,5/4,83/5,56/45,1,56/135,18,54000,123,98,3823/750
1000,0,83/5,21/25,1,7/25,18,3000,98,98,5771/1500
1000,1/4,83/5,21/25,1,7/25,18,3000,98,98,3073/750
1000,1/2,83/5,21/25,1,7/25,18,3000,98,98,6521/1500
1000,3/4,83/5,21/25,1,7/25,18,3000,98,98,1724/375
875,0,83/5,24/25,1,8/25,18,42000,123,98,5771/1500
875,1/4,83/5,24/25,1,8/25,18,42000,123,98,3073/750
